created_on,privilege,granted_on,name,granted_to,grantee_name,grant_option,granted_by
2025-05-28 08:13:58.399 -0700,OWNERSHIP,DATABASE,UPLAND_DATA_SCIENCE,ROLE,SYSADMIN,true,SYSADMIN
2023-04-28 08:14:15.157 -0700,OWNERSHIP,DATABASE,UPLAND_MAINTENANCE,ROLE,SYSADMIN,true,SYSADMIN
2024-06-21 08:14:54.984 -0700,USAGE,DATABASE,UPLAND_MAINTENANCE,ROLE,SYSADMIN,false,SYSADMIN
2025-03-31 13:55:14.063 -0700,OWNERSHIP,DATABASE,UPLAND_UTIL,ROLE,SYSADMIN,true,SYSADMIN
2025-04-29 09:15:16.506 -0700,OWNERSHIP,DIRECTORY_TABLE,UPLAND_DATA_LAB.DOC_AI_TEST.DIRECTORY_TB_DOC_INPUT_STAGE_869258431320018,ROLE,SYSADMIN,true,SYSADMIN
2025-02-12 11:03:56.124 -0800,OWNERSHIP,DIRECTORY_TABLE,UPLAND_DATA_LAB.PUBLIC.DIRECTORY_TB_DOC_AI_STAGE_869258431237766,ROLE,SYSADMIN,true,SYSADMIN
2025-05-08 14:32:46.463 -0700,OWNERSHIP,FILE_FORMAT,DEV_UPLAND_BRONZE_DB.FIVESIGMA.FIVESIGMA_CSV,ROLE,SYSADMIN,true,SYSADMIN
2025-05-08 14:32:46.969 -0700,OWNERSHIP,FILE_FORMAT,DEV_UPLAND_BRONZE_DB.FIVESIGMA.FIVESIGMA_CSV_HEADER,ROLE,SYSADMIN,true,SYSADMIN
2023-05-02 12:38:58.835 -0700,OWNERSHIP,FILE_FORMAT,DEV_UPLAND_BRONZE_DB.NETWORK_ADJUSTERS_MONTH_END_REPORT.SPECIALTY_COMBINED_FF,ROLE,SYSADMIN,true,SYSADMIN
2025-05-27 10:27:15.706 -0700,OWNERSHIP,FILE_FORMAT,PROD_UPLAND_BRONZE_DB.FIVESIGMA.FIVESIGMA_CSV,ROLE,SYSADMIN,true,SYSADMIN
2025-05-27 10:27:16.363 -0700,OWNERSHIP,FILE_FORMAT,PROD_UPLAND_BRONZE_DB.FIVESIGMA.FIVESIGMA_CSV_HEADER,ROLE,SYSADMIN,true,SYSADMIN
2024-10-17 11:30:29.975 -0700,OWNERSHIP,FILE_FORMAT,PROD_UPLAND_BRONZE_DB.NETWORK_ADJUSTERS.NETADJ_CLAIM_NOTES_CSV,ROLE,SYSADMIN,true,SYSADMIN
2024-10-17 11:01:32.524 -0700,OWNERSHIP,FILE_FORMAT,PROD_UPLAND_BRONZE_DB.NETWORK_ADJUSTERS.NETADJ_CLAIM_NOTES_HEADER,ROLE,SYSADMIN,true,SYSADMIN
